date,long_return,short_return,spread,hit_rate,n_long,n_short
2020-06-22,0.02413080263906421,0.025134781894092885,-0.0010039792550286739,0.627906976744186,43,47
2020-06-23,0.011741130774063914,0.001692083507231801,0.010049047266832114,0.5116279069767442,43,47
2020-06-24,0.04231315348328573,0.027159651771051153,0.015153501712234577,0.6976744186046512,43,47
2020-06-25,0.035351368759015254,0.012186465277719839,0.023164903481295414,0.6511627906976745,43,47
2020-06-26,0.03146651150243262,-0.008320133356637767,0.03978664485907039,0.6046511627906976,43,47
2020-06-29,0.035319377601364964,0.029183723064709996,0.006135654536654968,0.6511627906976745,43,47
2020-06-30,0.04888364768283544,0.046774404053513755,0.0021092436293216887,0.6744186046511628,43,47
2020-07-01,0.06734389738224367,-0.004894236196775338,0.07223813357901901,0.782608695652174,46,48
2020-07-02,0.07439202359549976,-0.007449097265222118,0.08184112086072189,0.7391304347826086,46,48
2020-07-03,0.06672405371769295,-0.00741891442499052,0.07414296814268347,0.6956521739130435,46,48
2020-07-06,0.06745028812268561,-0.01851535558249517,0.08596564370518078,0.717391304347826,46,48
2020-07-07,0.07061621071840088,-0.020857535887632322,0.0914737466060332,0.717391304347826,46,48
2020-07-08,0.08001828042836165,-0.003405587947270213,0.08342386837563186,0.717391304347826,46,48
2020-07-09,0.08039344019174051,0.005638473358304534,0.07475496683343598,0.7391304347826086,46,48
2020-07-10,0.09790059906731301,0.03565810131401643,0.06224249775329658,0.8043478260869565,46,48
2020-07-13,0.08484510019732498,0.04980546896584115,0.035039631231483834,0.782608695652174,46,48
2020-07-14,0.08826294607970754,0.08409799001668222,0.0041649560630253185,0.8478260869565217,46,48
2020-07-15,0.09304408368527442,0.10350933310322963,-0.010465249417955208,0.8695652173913043,46,48
2020-07-16,0.08649344337380589,0.09335696348427218,-0.006863520110466287,0.8043478260869565,46,48
2020-07-17,0.07773452473610719,0.09179374750858292,-0.014059222772475732,0.8043478260869565,46,48
2020-07-20,0.08206899018023986,0.09660512213722788,-0.014536131956988024,0.8043478260869565,46,48
2020-07-21,0.08869679692732331,0.10597294210739416,-0.017276145180070854,0.782608695652174,46,48
2020-07-22,0.08751284907242103,0.10955545473805965,-0.02204260566563862,0.8260869565217391,46,48
2020-07-23,0.08687571794158888,0.11936835306880743,-0.03249263512721855,0.8260869565217391,46,48
2020-07-24,0.09798460217290708,0.1435591393818326,-0.045574537208925514,0.8695652173913043,46,48
2020-07-27,0.10169900813103616,0.16657927910796466,-0.0648802709769285,0.8478260869565217,46,48
2020-07-28,0.09704564097811241,0.17466947773179098,-0.07762383675367857,0.8478260869565217,46,48
2020-07-29,0.09508662745076585,0.17093883848766786,-0.07585221103690201,0.8695652173913043,46,48
2020-07-30,0.0890627761946986,0.19300533506650153,-0.10394255887180293,0.8913043478260869,46,48
2020-07-31,0.03471229677660104,0.13780198373805308,-0.10308968696145204,0.6086956521739131,46,48
2020-08-03,0.040496115743907726,0.15806559033243828,-0.11756947458853055,0.6511627906976745,43,43
2020-08-04,0.04104222957210469,0.15226683045738745,-0.11122460088528277,0.627906976744186,43,43
2020-08-05,0.03861505887992479,0.146882864869504,-0.1082678059895792,0.6046511627906976,43,43
2020-08-06,0.020698770411001016,0.11673417199977011,-0.0960354015887691,0.5348837209302325,43,43
2020-08-07,-0.005508571509763203,0.10010716085930027,-0.10561573236906348,0.46511627906976744,43,43
2020-08-10,-0.028573110535389887,0.06519848855588406,-0.09377159909127394,0.3488372093023256,43,43
2020-08-11,-0.028348263939970492,0.041912758007772125,-0.07026102194774261,0.3953488372093023,43,43
2020-08-12,-0.009630366635745532,0.04795201252011865,-0.057582379155864186,0.46511627906976744,43,43
2020-08-13,-0.004801694999276364,0.03255896679468988,-0.03736066179396624,0.5116279069767442,43,43
2020-08-14,0.02686696704753769,0.0804904972265106,-0.05362353017897291,0.6744186046511628,43,43
2020-08-17,0.03173647970307252,0.08282606616038067,-0.05108958645730815,0.627906976744186,43,43
2020-08-18,0.027858953904964935,0.06340660540033984,-0.0355476514953749,0.6511627906976745,43,43
2020-08-19,0.016645063748398418,0.02737120877805776,-0.010726145029659344,0.6511627906976745,43,43
2020-08-20,0.022002085196537097,0.008866154470876877,0.01313593072566022,0.6511627906976745,43,43
2020-08-21,-0.02261900683846096,-0.04720339258815086,0.024584385749689897,0.4186046511627907,43,43
2020-08-24,-0.04493970229123626,-0.06530255392540295,0.020362851634166686,0.23255813953488372,43,43
2020-08-25,-0.048039959175216536,-0.06825300605285786,0.020213046877641326,0.23255813953488372,43,43
2020-08-26,-0.07515715068668198,-0.11709148615452378,0.041934335467841796,0.16279069767441862,43,43
2020-08-27,-0.05126208445207306,-0.09615852801339095,0.04489644356131789,0.13953488372093023,43,43
2020-08-28,-0.025413700913569155,-0.08137980987925593,0.055966108965686774,0.32558139534883723,43,43
2020-08-31,0.01091831161209417,-0.033228227857943465,0.04414653947003763,0.5348837209302325,43,43
2020-09-01,0.0729529093530121,-0.07427905155896276,0.14723196091197488,0.7659574468085106,47,45
2020-09-02,0.04833295980637358,-0.06794451393165529,0.11627747373802888,0.723404255319149,47,45
2020-09-03,0.04783022415983514,-0.06378551825269059,0.11161574241252573,0.6808510638297872,47,45
2020-09-04,0.0656081576577056,-0.038789694503857976,0.10439785216156358,0.7446808510638298,47,45
2020-09-07,0.06917080536687091,-0.0415720033755399,0.11074280874241081,0.6808510638297872,47,45
2020-09-08,0.07879564925379565,-0.02897904511050228,0.10777469436429793,0.7446808510638298,47,45
2020-09-09,0.07868277517434658,-0.005193571647139378,0.08387634682148595,0.8085106382978723,47,45
2020-09-10,0.07035569369243432,-0.035789151763920474,0.10614484545635479,0.6808510638297872,47,45
2020-09-11,0.06712443643169289,-0.05052865074406636,0.11765308717575924,0.6595744680851063,47,45
2020-09-14,0.031249014862212432,-0.0657731765588266,0.09702219142103903,0.574468085106383,47,45
2020-09-15,-0.0034698522862331663,-0.09012427077405244,0.08665441848781927,0.5106382978723404,47,45
2020-09-16,-0.006496032040779223,-0.08503571563508298,0.07853968359430376,0.48936170212765956,47,45
2020-09-17,-0.004031525827267449,-0.05632711402124846,0.05229558819398101,0.425531914893617,47,45
